Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating
Click Holdings Limited (Click Services Limited),CLIK,Other,10/9/2024,1.4,$4.00 ,$2.64 ,$2.64 ,-34.00%,S/O
"KinderCare Learning Companies, Inc. (Revived IPO)",KLC,Consumer Services,10/9/2024,24,$24.00 ,$26.13 ,$26.13 ,8.88%,S/O
SKK Holdings Limited,SKK,Other,10/8/2024,2.5,$4.00 ,$6.05 ,$3.93 ,-1.75%,S/O
BingEx Limited,FLX,Other,10/4/2024,4,$16.50 ,$18.01 ,$18.01 ,9.15%,S/O
Chain Bridge Bancorp,CBNA,Financials,10/4/2024,1.9,$22.00 ,$21.20 ,$21.20 ,-3.64%,S/O
"FrontView REIT, Inc.",FVR,Financials,10/2/2024,13.2,$19.00 ,$18.72 ,$18.72 ,-1.47%,S/O
"StandardAero, Inc.",SARO,Other,10/2/2024,60,$24.00 ,$32.75 ,$32.75 ,36.46%,S/O
Wellchange Holdings,WCT,Technology,10/2/2024,2,$4.00 ,$0.00 ,$0.00 ,0.00%,S/O
HomesToLife Ltd.,HTLM,Consumer Goods,10/1/2024,1.3,$4.00 ,$4.02 ,$4.02 ,0.50%,S/O
"ZJK Industrial Co., Ltd.",ZJK,Industrials,9/30/2024,1.3,$5.00 ,$5.00 ,$5.00 ,0.00%,S/O
BioAge Labs Inc.,BIOA,Health Care,9/26/2024,11,$18.00 ,$18.31 ,$18.31 ,1.72%,S/O
BKV Corp.,BKV,Oil & Gas,9/26/2024,15,$18.00 ,$18.10 ,$18.10 ,0.56%,S/O
"Guardian Pharmacy Services, Inc.",GRDN,Health Care,9/26/2024,8,$14.00 ,$0.00 ,$0.00 ,0.00%,S/O
Innovation Beverage Group Limited,IBG,Industrials,9/26/2024,1.4,$4.00 ,$2.92 ,$0.76 ,-81.00%,S/O
Legacy Education Inc.,LGCY,Consumer Services,9/26/2024,2.5,$4.00 ,$4.02 ,$4.02 ,0.50%,S/O
Premium Catering (Holdings) Limited,PC,Consumer Services,9/25/2024,2,$4.75 ,$3.72 ,$3.72 ,-21.68%,S/O
Global Engine Group Holding Ltd.,GLE,Technology,9/20/2024,2,$4.00 ,$4.18 ,$4.54 ,13.50%,S/O
Healthy Choice Wellness Corp.,HCWC,Consumer Goods,9/16/2024,0.4,$10.00 ,$5.24 ,$2.62 ,-73.80%,S/O
Impact Biomedical,IBO,Health Care,9/16/2024,1.5,$3.00 ,$2.68 ,$2.68 ,-10.67%,S/O
"Kairos Pharma, Ltd.",KAPA,Health Care,9/16/2024,1.6,$4.00 ,$2.60 ,$2.60 ,-35.00%,S/O
Bicara Therapeutics,BCAX,Health Care,9/13/2024,17.5,$18.00 ,$23.41 ,$25.73 ,42.94%,S/O
MBX Biosciences,MBX,Health Care,9/13/2024,10.2,$16.00 ,$23.65 ,$21.00 ,31.25%,S/O
Zenas BioPharma Inc.,ZBIO,Health Care,9/13/2024,13.2,$17.00 ,$18.15 ,$17.90 ,5.29%,S/O
Galaxy Payroll Group Ltd.,GLXG,Other,9/12/2024,1.8,$4.00 ,$4.45 ,$6.06 ,51.50%,S/O
Trident Digital Tech Holdings,TDTH,Technology,9/10/2024,1.8,$5.00 ,$3.83 ,$3.83 ,-23.40%,S/O
XCHG Ltd.,XCH,Industrials,9/10/2024,3.3,$6.20 ,$7.36 ,$18.37 ,196.29%,S/O
Pheton Holdings Ltd.,PTHL,Health Care,9/5/2024,2.3,$4.00 ,$3.78 ,$4.32 ,8.00%,S/O
Powell Max Limited,PMAX,Other,9/5/2024,1.4,$4.00 ,$4.00 ,$3.76 ,-0.06%,S/O
Autozi Internet Technology (Global) Ltd. (Re-Filed),AZI,Consumer Services,8/28/2024,2.5,$4.00 ,$2.62 ,$3.00 ,-25.00%,S/O
Safe Pro Group Inc.,SPAI,Other,8/28/2024,1,$5.00 ,$4.27 ,$4.25 ,-15.00%,S/O
JBDI Holdings Ltd.,JBDI,Industrials,8/27/2024,2.3,$5.00 ,$10.12 ,$1.89 ,-62.20%,S/O
Reitar Logtech Holdings,RITR,Other,8/23/2024,2.1,$4.00 ,$4.15 ,$4.10 ,2.50%,S/O
WORK Medical Technology Group Ltd. (2024 Update),WOK,Health Care,8/23/2024,2,$4.00 ,$3.60 ,$4.36 ,9.00%,S/O
YXT.COM Group Holding,YXT,Technology,8/16/2024,2.3,$11.00 ,$10.02 ,$10.02 ,-8.91%,S/O
Actuate Therapeutics,ACTU,Health Care,8/13/2024,2.8,$8.00 ,$8.61 ,$8.00 ,0.00%,S/O
Cantor Equity Partners,CEP,Blank Check,8/13/2024,10,$10.00 ,$10.01 ,$10.00 ,0.00%,S/O
OS Therapies Inc.,OSTX,Health Care,8/1/2024,1.6,$4.00 ,$2.51 ,$2.51 ,-37.25%,S/O
NIP Group,NIPG,Consumer Services,7/26/2024,2.3,$9.00 ,$9.02 ,$7.21 ,-19.89%,S/O
"Concentra Group Holdings Parent, Inc.",CON,Health Care,7/25/2024,22.5,$23.50 ,$22.48 ,$23.34 ,-0.68%,S/O
LATAM Airlines Group (Uplisting),LTM,Other,7/25/2024,19,$24.00 ,$24.70 ,$26.02 ,8.42%,S/O
Lineage,LINE,Financials,7/25/2024,56.9,$78.00 ,$80.78 ,$82.47 ,5.73%,S/O
OrangeKloud Technology Inc.,ORKT,Technology,7/25/2024,2.8,$4.75 ,$5.70 ,$4.59 ,-3.36%,S/O
BloomZ,BLMZ,Technology,7/24/2024,1.3,$4.30 ,$2.45 ,$3.26 ,-24.19%,S/O
"OneStream, Inc.",OS,Technology,7/24/2024,24.5,$20.00 ,$26.85 ,$30.72 ,53.60%,S/O
Primega Group Holdings Limited,ZDAI (formerly PGHL),Basic Materials,7/23/2024,1.5,$4.00 ,$4.22 ,$0.73 ,-81.75%,S/O
"Artiva Biotherapeutics, Inc.",ARTV,Health Care,7/19/2024,13.9,$12.00 ,$12.00 ,$11.90 ,-0.83%,S/O
QMMM Holdings Ltd.,QMMM,Consumer Services,7/19/2024,2.2,$4.00 ,$4.07 ,$5.63 ,40.75%,S/O
Ardent Health Partners (2024 New Filing),ARDT,Health Care,7/18/2024,12,$16.00 ,$16.06 ,$17.08 ,6.75%,S/O
"TWFG, Inc.",TWFG,Financials,7/18/2024,11,$17.00 ,$22.01 ,$27.78 ,63.41%,S/O
Icon Energy Corp.,ICON,Other,7/12/2024,1.3,$4.00 ,$3.70 ,$3.70 ,-7.50%,S/O
Talen Energy Corp. (Uplisting),TLN,Utilities,7/10/2024,36.8,$121.00 ,$127.50 ,$171.02 ,41.34%,S/O
EShallGo Inc.,EHGO,Other,7/2/2024,1.3,$4.00 ,$3.26 ,$2.61 ,-34.75%,S/O
Alumis Inc.,ALMS,Health Care,6/28/2024,13.1,$16.00 ,$13.30 ,$11.65 ,-27.19%,S/O
Lakeside Holding Ltd.,LSH,Other,6/28/2024,1.5,$4.50 ,$4.01 ,$2.39 ,-46.89%,S/O
LandBridge Co. LLC,LB,Other,6/28/2024,14.5,$17.00 ,$23.15 ,$37.84 ,122.59%,S/O
Tamboran Resources Corp. (Uplisting),TBN,Oil & Gas,6/27/2024,3.1,$24.00 ,$21.75 ,$19.80 ,-17.50%,S/O
WEBTOON Entertainment Inc.,WBTN,Technology,6/27/2024,15,$21.00 ,$23.00 ,$10.51 ,-49.95%,S/O
"Rectitude Holdings, Ltd.",RECT,Industrials,6/21/2024,2,$4.00 ,$3.90 ,$3.17 ,-20.75%,S/O
Tempus AI,TEM,Technology,6/14/2024,11.1,$37.00 ,$40.25 ,$28.50 ,-22.97%,S/O
Perceptive Capital Solutions Corp.,PCSC,Blank Check,6/12/2024,7.5,$10.00 ,$10.05 ,$10.04 ,0.40%,S/O
"Rapport Therapeutics, Inc.",RAPP,Health Care,6/7/2024,8,$17.00 ,$20.80 ,$19.01 ,11.82%,S/O
Waystar Holding Corp.,WAY,Technology,6/7/2024,45,$21.50 ,$20.70 ,$26.85 ,24.88%,S/O
Fly-E Group Inc.,FLYE,Industrials,6/6/2024,2.3,$4.00 ,$4.78 ,$0.59 ,-85.25%,S/O
Gauzy Ltd.,GAUZ,Technology,6/6/2024,4.4,$17.00 ,$16.45 ,$9.00 ,-47.06%,S/O
"Life360, Inc.",LIF,Technology,6/6/2024,5.8,$27.00 ,$27.00 ,$33.90 ,25.56%,S/O
Bowhead Specialty Holdings,BOW,Financials,5/23/2024,7.5,$17.00 ,$23.80 ,$28.89 ,69.94%,S/O
Super Hi International Holding,HDL,Consumer Services,5/17/2024,2.7,$19.56 ,$22.29 ,$14.35 ,-26.64%,S/O
Jiade Ltd.,JDZG,Consumer Services,5/15/2024,2,$4.00 ,$4.07 ,$0.59 ,-85.25%,S/O
Raytech Holding Ltd.,RAY,Consumer Goods,5/15/2024,1.5,$4.00 ,$4.23 ,$3.74 ,-6.50%,S/O
Armlogi Holding Corp.,BTOC,Other,5/14/2024,1.6,$5.00 ,$4.62 ,$4.01 ,-19.80%,S/O
ZEEKR Intelligent Technology Holding Limited,ZK,Industrials,5/10/2024,21,$21.00 ,$28.26 ,$13.52 ,-35.62%,S/O
Proficient Auto Logistics,PAL,Other,5/9/2024,14.3,$15.00 ,$14.75 ,$17.25 ,15.00%,S/O
Silvaco Group,SVCO,Technology,5/9/2024,6,$19.00 ,$19.80 ,$15.01 ,-21.00%,S/O
NANO Nuclear Energy,NNE,Utilities,5/8/2024,2.6,$4.00 ,$5.19 ,$10.96 ,174.00%,S/O
Sow Good Inc.,SOWG,Consumer Goods,5/2/2024,1.2,$10.00 ,$9.75 ,$11.51 ,15.10%,S/O
Viking Holdings Ltd.,VIK,Consumer Services,5/1/2024,64,$24.00 ,$26.99 ,$33.57 ,39.88%,S/O
"CleanCore Solutions, Inc.",ZONE,Industrials,4/26/2024,1.3,$4.00 ,$3.50 ,$3.05 ,-23.75%,S/O
"Loar Holdings, Inc.",LOAR,Industrials,4/25/2024,11,$28.00 ,$48.80 ,$73.65 ,163.00%,S/O
Marex Group plc,MRX,Financials,4/25/2024,15.4,$19.00 ,$18.99 ,$23.81 ,25.32%,S/O
Rubrik Inc.,RBRK,Technology,4/25/2024,23.5,$32.00 ,$37.00 ,$31.54 ,-1.44%,S/O
Neo-Concept International Group Holdings Limited,NCI,Industrials,4/23/2024,2.3,$4.00 ,$9.50 ,$0.79 ,-80.25%,S/O
mF International Ltd.,MFI,Financials,4/22/2024,1.7,$4.50 ,$12.29 ,$1.06 ,-76.44%,S/O
YY Group Holding,YYGH,Technology,4/22/2024,1.1,$4.00 ,$2.90 ,$1.27 ,-68.25%,S/O
Tungray Technologies Inc.,TRSG,Industrials,4/19/2024,1.3,$4.00 ,$5.95 ,$2.61 ,-34.75%,S/O
CDT Environmental Technology Investment Holdings Limited,CDTG,Utilities,4/18/2024,1.5,$4.00 ,$3.30 ,$3.39 ,-15.25%,S/O
"Centuri Holdings, Inc.",CTRI,Utilities,4/18/2024,12.4,$21.00 ,$23.13 ,$16.60 ,-20.95%,S/O
Ibotta Inc.,IBTA,Consumer Goods,4/18/2024,6.6,$88.00 ,$103.25 ,$61.29 ,-30.35%,S/O
Mingteng International Corp.,MTEN,Industrials,4/18/2024,1.3,$4.00 ,$3.50 ,$4.55 ,13.75%,S/O
Serve Robotics Inc.,SERV,Consumer Services,4/18/2024,10,$4.00 ,$3.11 ,$2.60 ,-35.00%,S/O
Junee Limited,JUNE,Consumer Services,4/17/2024,2,$4.00 ,$4.06 ,$4.89 ,22.25%,S/O
Top Wealth Group Holding Ltd.,TWG,Consumer Goods,4/16/2024,2,$4.00 ,$1.94 ,$1.05 ,-73.75%,S/O
UL Solutions Inc,ULS,Industrials,4/12/2024,33.8,$28.00 ,$34.94 ,$48.77 ,74.18%,S/O
PACS Group,PACS,Health Care,4/11/2024,21.4,$21.00 ,$23.00 ,$40.80 ,94.29%,S/O
Mobile-health Network Solutions,MNDR,Health Care,4/10/2024,2.3,$4.00 ,$6.70 ,$1.81 ,-54.75%,S/O
"Contineum Therapeutics, Inc.",CTNM,Health Care,4/5/2024,6.9,$16.00 ,$15.40 ,$14.70 ,-8.13%,S/O
Massimo Group,MAMO,Industrials,4/2/2024,1.3,$4.50 ,$3.01 ,$3.66 ,-18.67%,S/O
Zhibao Technology,ZBAO,Financials,4/2/2024,1.5,$4.00 ,$3.70 ,$3.71 ,-7.25%,S/O
Alta Global Group Limited,MMA,Consumer Services,3/28/2024,1.3,$5.00 ,$4.18 ,$4.09 ,-18.20%,S/O
"Boundless Bio, Inc.",BOLD,Health Care,3/28/2024,6.3,$16.00 ,$14.63 ,$9.60 ,-40.00%,S/O
U-BX Technology Ltd.,UBXG,Technology,3/28/2024,2,$5.00 ,$4.10 ,$4.10 ,-18.00%,S/O
Auna S.A.,AUNA,Health Care,3/22/2024,30,$12.00 ,$9.60 ,$8.31 ,-30.75%,S/O
Lobo EV Technologies Ltd.,LOBO,Industrials,3/21/2024,1.4,$4.00 ,$3.47 ,$1.59 ,-60.25%,S/O
Reddit,RDDT,Technology,3/21/2024,22,$34.00 ,$50.44 ,$63.66 ,87.24%,S/O
"Astera Labs, Inc.",ALAB,Technology,3/20/2024,19.8,$36.00 ,$62.03 ,$46.44 ,29.00%,S/O
Intelligent Group Limited,INTJ,Consumer Services,3/20/2024,1.9,$4.00 ,$3.30 ,$1.13 ,-71.75%,S/O
Ryde Group Ltd.,RYDE,Technology,3/6/2024,3,$4.00 ,$4.00 ,$1.49 ,-62.75%,S/O
Lucas GC Limited,LGCL,Technology,3/5/2024,1.5,$4.00 ,$3.61 ,$2.54 ,-36.50%,S/O
SolarMax Technology,SMXT,Consumer Goods,2/27/2024,4.5,$4.00 ,$8.00 ,$0.90 ,-77.54%,S/O
Wetouch Technology,WETH,Technology,2/21/2024,2.2,$5.00 ,$3.05 ,$2.08 ,-58.40%,S/O
Chromocell Therapeutics Corp.,CHRO,Health Care,2/16/2024,1.1,$6.00 ,$4.80 ,$1.36 ,-77.33%,S/O
"Unusual Machines, Inc.",UMAC,Technology,2/14/2024,1.3,$4.00 ,$3.03 ,$1.85 ,-53.75%,S/O
BBB Foods Inc.,TBBB,Consumer Goods,2/9/2024,33.7,$17.50 ,$19.05 ,$30.47 ,74.00%,S/O
Helix Acquisition Corp. II,HLXB,Blank Check,2/9/2024,16,$10.00 ,$10.19 ,$10.35 ,3.50%,S/O
"Metagenomi, Inc.",MGX,Health Care,2/9/2024,6.3,$15.00 ,$10.31 ,$2.97 ,-80.20%,S/O
Telomir Pharmaceuticals,TELO,Health Care,2/9/2024,1,$7.00 ,$5.00 ,$6.23 ,-11.00%,S/O
Kyverna Therapeutics,KYTX,Health Care,2/8/2024,14.5,$22.00 ,$30.00 ,$13.23 ,-39.86%,S/O
Perfect Moment Ltd.,PMNT,Industrials,2/8/2024,1.3,$6.00 ,$5.20 ,$2.62 ,-56.33%,S/O
"American Healthcare REIT, Inc.",AHR,Financials,2/7/2024,56,$12.00 ,$13.22 ,$24.53 ,104.42%,S/O
"Alto Neuroscience, Inc.",ANRO,Health Care,2/2/2024,8.4,$16.00 ,$20.70 ,$12.28 ,-23.25%,S/O
"Fractyl Health, Inc.",GUTS,Health Care,2/2/2024,7.3,$15.00 ,$12.85 ,$6.57 ,-56.20%,S/O
"Amer Sports, Inc.",AS,Industrials,2/1/2024,105,$13.00 ,$13.40 ,$14.85 ,14.23%,S/O
FibroBiologics (Direct Listing),FBLG,Health Care,1/31/2024,4.8,$30.00 ,$29.10 ,$11.99 ,-60.03%,S/O
"ArriVent BioPharma, Inc.",AVBP,Health Care,1/26/2024,9.7,$18.00 ,$20.00 ,$23.59 ,31.06%,S/O
BrightSpring Health Services Inc.,BTSG,Consumer Services,1/26/2024,53.3,$13.00 ,$11.00 ,$11.28 ,-13.23%,S/O
Haoxi Health Technology Ltd.,HAO,Consumer Services,1/26/2024,2.4,$4.00 ,$5.28 ,$2.86 ,-28.50%,S/O
CG Oncology Inc.,CGON,Health Care,1/25/2024,20,$19.00 ,$37.17 ,$37.06 ,95.05%,S/O
Planet Image International Ltd.,YIBO,Technology,1/25/2024,1.3,$4.00 ,$2.79 ,$2.72 ,-32.00%,S/O
J-Long Group Limited,JL,Industrials,1/24/2024,1.4,$5.00 ,$7.44 ,$0.62 ,-87.60%,S/O
SU Group Holdings,SUGP,Other,1/24/2024,1.3,$4.00 ,$4.00 ,$2.43 ,-39.25%,S/O
Kaspi.KZ,KSPI,Technology,1/19/2024,11.3,$92.00 ,$95.97 ,$119.01 ,29.36%,S/O
CCSC Technology International Holdings Ltd.,CCTG,Technology,1/18/2024,1.4,$4.00 ,$7.70 ,$2.88 ,-28.00%,S/O
"Palmer Square Capital BDC, Inc.",PSBD,Financials,1/18/2024,5.5,$16.45 ,$16.19 ,$16.40 ,-0.30%,S/O
Silynxcom Ltd.,SYNX,Industrials,1/12/2024,1.3,$4.00 ,$3.61 ,$2.74 ,-31.50%,S/O
Smith Douglas Homes Corp.,SDHC,Consumer Services,1/11/2024,7.7,$21.00 ,$24.00 ,$37.76 ,79.81%,S/O
Roma Green Finance Ltd.,ROMA,Financials,1/9/2024,3.1,$4.00 ,$2.90 ,$0.68 ,-83.00%,S/O
