Company,Symbol,Industry,Offer Date,Shares (millions),Offer Price,1st Day Close,Current Price,Return,SCOOP Rating
OneConstruction Group Limited,ONEG,Other,12/31/2024,1.8,$4.00 ,$3.00 ,$3.00 ,-25.00%,S/O
Park Ha Biological Technology Co. Ltd.,PHH,Consumer Goods,12/27/2024,1.2,$4.00 ,$4.07 ,$4.07 ,1.75%,S/O
Health in Tech,HIT,Financials,12/23/2024,2.3,$4.00 ,$0.00 ,$0.00 ,0.00%,S/O
Youxin Technology Ltd.,YAAS,Technology,12/20/2024,2.3,$4.50 ,$3.95 ,$3.95 ,-12.22%,S/O
"Leishen Energy Holding Co., Ltd.",LSE,Oil & Gas,12/19/2024,1.4,$4.00 ,$4.35 ,$4.35 ,8.75%,S/O
New Century Logistics (BVI) Ltd.,NCEW,Other,12/18/2024,1.5,$4.00 ,$2.54 ,$2.54 ,-36.50%,S/O
"YSX Tech Co., Ltd.",YSXT,Financials,12/18/2024,1.3,$4.00 ,$4.31 ,$4.31 ,7.75%,S/O
Anteris Technologies Global (NASDAQ Uplisting/Dual Listing),AVR,Health Care,12/13/2024,14.8,$6.00 ,$0.00 ,$0.00 ,0.00%,S/O
NetClass Technology (2024 New Filing),NTCL,Technology,12/13/2024,1.8,$5.00 ,$5.00 ,$5.00 ,0.00%,S/O
ServiceTitan,TTAN,Technology,12/12/2024,8.8,$71.00 ,$101.00 ,$101.00 ,42.25%,S/O
Jinxin Technology,NAMI,Consumer Services,12/6/2024,1.3,$4.00 ,$4.44 ,$4.44 ,11.00%,S/O
Linkers Industries,LNKS,Industrials,12/5/2024,1.9,$4.00 ,$0.00 ,$0.00 ,0.00%,S/O
"zSpace, Inc.",ZSPC,Technology,12/5/2024,1.9,$5.00 ,$0.00 ,$0.00 ,0.00%,S/O
"Jupiter Neurosciences, Inc.",JUNS,Health Care,12/3/2024,2.8,$4.00 ,$5.49 ,$5.49 ,37.25%,S/O
Brazil Potash Corp.,GRO,Basic Materials,11/27/2024,2,$15.00 ,$13.51 ,$13.51 ,-9.93%,S/O
BrilliA Inc.,BRIA,Industrials,11/27/2024,2.5,$4.00 ,$4.00 ,$4.00 ,0.00%,S/O
Pony AI Inc.,PONY,Technology,11/27/2024,20,$13.00 ,$12.00 ,$12.00 ,-7.69%,S/O
"Venu Holding Corp. (Notes Live, Inc.)",VENU,Consumer Services,11/27/2024,1.2,$10.00 ,$10.12 ,$10.12 ,1.20%,S/O
Creative Global Technology Holdings Limited,CGTL,Technology,11/26/2024,1.3,$4.00 ,$3.91 ,$3.91 ,-2.25%,S/O
Wing Yip Food Holdings Group Limited (Uplisting),WYHG,Industrials,11/26/2024,2.1,$4.00 ,$4.24 ,$4.24 ,0.60%,S/O
"Heritage Distilling Holding Company, Inc",CASK,Industrials,11/22/2024,1.7,$4.00 ,$3.40 ,$3.40 ,-15.00%,S/O
Ming Shing Group Holdings,MSW,Other,11/22/2024,1.5,$5.50 ,$5.59 ,$5.59 ,1.64%,S/O
Invizyne Technologies,IZTC,Health Care,11/13/2024,1.9,$8.00 ,$8.65 ,$8.65 ,8.13%,S/O
Alpha Cognition (Uplisting),ACOG,Health Care,11/12/2024,8.7,$5.75 ,$5.70 ,$5.70 ,-0.87%,S/O
Aduro Clean Technologies (Uplisting),ADUR,Industrials,11/7/2024,0.9,$4.25 ,$4.25 ,$4.58 ,0.78%,S/O
Gelteq Ltd.,GELS,Health Care,10/29/2024,1.3,$4.00 ,$2.94 ,$2.94 ,-26.50%,S/O
Thumzup Media Corp. (Uplisting),TZUP,Technology,10/29/2024,1.4,$5.00 ,$5.25 ,$5.25 ,5.00%,S/O
"Septerna, Inc.",SEPN,Health Care,10/25/2024,16,$18.00 ,$21.40 ,$21.40 ,18.89%,S/O
WeRide Inc.,WRD,Technology,10/25/2024,7.7,$15.50 ,$16.55 ,$16.55 ,6.77%,S/O
Bold Eagle Acquisition (ex-Spinning Eagle),BEAGU,Blank Check,10/24/2024,25,$10.00 ,$10.00 ,$10.00 ,0.00%,S/O
Ingram Micro Holding Corp.,INGM,Technology,10/24/2024,18.6,$22.00 ,$24.60 ,$24.60 ,11.82%,S/O
Founder Group Limited,FGL,Other,10/23/2024,1.2,$4.00 ,$3.16 ,$3.16 ,-21.00%,S/O
"High Roller Technologies, Inc.",ROLR,Consumer Services,10/23/2024,1.3,$8.00 ,$7.79 ,$7.79 ,-2.63%,S/O
Li Bang International Corporation Inc.,LBGJ,Industrials,10/23/2024,1.5,$4.00 ,$4.10 ,$4.10 ,2.50%,S/O
SAG Holdings Ltd,SAG,Industrials,10/23/2024,0.9,$8.00 ,$6.36 ,$6.36 ,-20.50%,S/O
Synergy CHC Corp. (Uplisting),SNYR,Consumer Goods,10/23/2024,1.2,$9.00 ,$9.00 ,$9.00 ,0.00%,S/O
HUHUTECH International Group,HUHU,Industrials,10/22/2024,1.1,$4.00 ,$0.00 ,$0.00 ,0.00%,S/O
Oriental Rise Holdings Ltd.,ORIS,Consumer Goods,10/17/2024,1.8,$4.00 ,$6.00 ,$6.00 ,50.00%,S/O
Springview Holdings Ltd.,SPHL,Other,10/17/2024,1.5,$4.00 ,$4.25 ,$4.25 ,6.25%,S/O
PTL Limited,PTLE,Oil & Gas,10/16/2024,1.3,$4.00 ,$4.07 ,$4.07 ,1.75%,S/O
Samfine Creation Holdings Group Limited,SFHG,Consumer Goods,10/15/2024,2,$4.00 ,$5.30 ,$5.30 ,32.50%,S/O
Camp4 Therapeutics Corp.,CAMP,Health Care,10/11/2024,6.8,$11.00 ,$10.72 ,$10.72 ,-2.55%,S/O
"CeriBell, Inc.",CBLL,Health Care,10/11/2024,10.6,$17.00 ,$25.00 ,$25.00 ,47.06%,S/O
Star Fashion Culture Holdings Ltd.,STFS,Consumer Services,10/11/2024,2.2,$4.00 ,$3.26 ,$3.26 ,-18.50%,S/O
UpStream Bio Inc.,UPB,Health Care,10/11/2024,15,$17.00 ,$22.00 ,$22.00 ,29.41%,S/O
