Ticker,Industry,Date,Shares,OfferPrice,FirstDayClose,CurrentPrice,Return,DaysSincePublic
MB,Consumer Services,10/4/2025,2.0,400,410,410,2.5,530
CIIT,Other,10/4/2025,1.8,400,260,260,-35.0,530
FATN,Technology,8/4/2025,0.7,575,1300,1300,126.08695652173914,532
RYET,Technology,8/4/2025,3.8,400,451,451,12.75,532
BLIV,Technology,4/4/2025,2.5,400,354,354,-11.5,536
LHSW,Industrials,3/4/2025,2.0,400,429,429,7.249999999999999,537
SMA,Financials,2/4/2025,27.0,3000,3275,3275,9.166666666666666,538
TOPW,Consumer Goods,2/4/2025,2.7,400,383,383,-4.25,538
ENGS,Industrials,1/4/2025,2.3,450,495,495,10.0,539
WTF,Financials,1/4/2025,4.4,400,1985,1985,396.25,539
WXM,Industrials,1/4/2025,1.4,400,425,425,6.25,539
CRWV,Technology,28/3/2025,37.5,4000,4000,5257,31.424999999999997,543
NCT,Other,28/3/2025,1.5,700,685,685,-2.142857142857143,543
ALMU,Technology,27/3/2025,2.3,525,651,651,24.0,544
WFF,Industrials,27/3/2025,2.0,400,375,375,-6.25,544
EPSM,Consumer Goods,26/3/2025,1.3,400,482,482,20.5,545
NTHI,Health Care,26/3/2025,2.1,2500,1211,1211,-51.559999999999995,545
LGPS,Other,25/3/2025,2.0,500,370,370,-26.0,546
BIYA,Technology,21/3/2025,2.5,400,418,418,4.5,550
RCT,Consumer Services,21/3/2025,4.4,450,450,450,0.0,550
MWYN,Consumer Goods,13/3/2025,2.0,400,0,0,-100.0,558
MCRP,Technology,7/3/2025,3.9,400,355,355,-11.25,564
SAGT,Technology,7/3/2025,1.8,400,360,360,-10.0,564
ADVB,Health Care,6/3/2025,1.6,400,365,365,-8.75,565
TBH,Consumer Goods,6/3/2025,1.5,400,430,430,7.5,565
CAPS,Basic Materials,6/3/2025,1.3,400,390,390,-2.5,565
KMTS,Health Care,6/3/2025,11.9,1700,2184,2099,23.47058823529412,565
PN,Technology,4/3/2025,2.0,400,403,403,0.75,567
LUD,Industrials,27/2/2025,2.5,400,400,400,0.0,572
LZMH,Technology,27/2/2025,1.8,400,500,1653,313.25,572
WETO,Consumer Services,27/2/2025,2.0,400,360,360,-10.0,572
STAK,Oil & Gas,26/2/2025,1.3,400,373,373,-6.75,573
BMGL,Health Care,25/2/2025,2.2,400,444,414,3.5000000000000004,574
WGRX,Health Care,21/2/2025,0.9,450,381,276,-38.666666666666664,578
NNNN,Health Care,19/2/2025,1.6,500,577,636,27.200000000000003,580
NPB,Financials,14/2/2025,10.4,1450,1450,1435,-1.0344827586206897,585
AARD,Health Care,13/2/2025,5.9,1600,1431,1365,-14.6875,586
KRMN,Industrials,13/2/2025,23.0,2200,3005,3014,37.0,586
SAIL,Technology,13/2/2025,60.0,2300,2200,2406,4.608695652173913,586
XHLD,Technology,13/2/2025,1.7,600,680,130,-78.33333333333333,586
AGH,Consumer Services,12/2/2025,3.8,400,388,495,23.75,587
ODYS,Technology,11/2/2025,3.3,650,650,650,0.0,588
SION,Health Care,7/2/2025,10.6,1800,2500,1552,-13.777777777777779,592
TTAM,Industrials,7/2/2025,24.0,1600,1670,1580,-1.25,592
EPWK,Technology,6/2/2025,2.8,410,411,452,10.24390243902439,593
FBGL,Industrials,6/2/2025,2.3,450,345,97,-78.44444444444446,593
CJMB,Other,5/2/2025,1.3,400,410,135,-66.25,594
HCAI,Other,5/2/2025,1.5,400,384,425,6.25,594
PLUT,Financials,5/2/2025,2.1,400,400,408,2.0,594
INR,Oil & Gas,31/1/2025,13.3,2000,2137,1521,-23.95,599
MAZE,Health Care,31/1/2025,8.8,1600,1595,1555,-2.8125,599
MTSR,Health Care,31/1/2025,15.3,1800,2650,3678,104.33333333333333,599
BBNX,Health Care,30/1/2025,12.0,1700,2363,1643,-3.3529411764705883,600
SFD,Consumer Goods,28/1/2025,26.1,2000,1975,2060,3.0,602
AAPG,Health Care,24/1/2025,7.3,1725,1738,2067,19.82608695652174,606
VG,Oil & Gas,24/1/2025,70.0,2500,2400,1420,-43.2,606
SKBL,Other,23/1/2025,1.5,400,466,918,129.5,607
MCTR,Other,22/1/2025,2.0,400,433,654,63.5,608
DXST,Other,22/1/2025,1.3,400,0,0,-100.0,608
DGNX,Technology,22/1/2025,2.3,410,750,308,-24.878048780487806,608
TOPP,Other,22/1/2025,2.5,400,375,221,-44.75,608
FLOC,Oil & Gas,16/1/2025,17.8,2400,2970,2644,10.166666666666666,614
PCLA,Industrials,16/1/2025,1.8,400,284,838,109.5,614
HKPD,Health Care,15/1/2025,1.5,400,282,173,-56.75,615
UFG,Oil & Gas,14/1/2025,2.1,400,400,435,8.75,616
MIMI,Other,10/1/2025,1.8,400,411,530,32.5,620
MASK,Technology,8/1/2025,1.3,400,325,275,-31.25,622
CEPO,Blank Check,7/1/2025,20.0,1000,1005,1010,1.0,623
ZYBT,Health Care,7/1/2025,1.5,400,486,422,5.5,623
INLF,Industrials,2/1/2025,2.0,400,445,196,-51.0,628
ONEG,Other,31/12/2024,1.8,400,300,300,-25.0,630
PHH,Consumer Goods,27/12/2024,1.2,400,407,407,1.7500000000000002,634
HIT,Financials,23/12/2024,2.3,400,0,0,-100.0,638
YAAS,Technology,20/12/2024,2.3,450,395,395,-12.222222222222221,641
LSE,Oil & Gas,19/12/2024,1.4,400,435,435,8.75,642
NCEW,Other,18/12/2024,1.5,400,254,254,-36.5,643
YSXT,Financials,18/12/2024,1.3,400,431,431,7.75,643
AVR,Health Care,13/12/2024,14.8,600,0,0,-100.0,648
NTCL,Technology,13/12/2024,1.8,500,500,500,0.0,648
TTAN,Technology,12/12/2024,8.8,7100,10100,10100,42.25352112676056,649
NAMI,Consumer Services,6/12/2024,1.3,400,444,444,11.0,655
LNKS,Industrials,5/12/2024,1.9,400,0,0,-100.0,656
ZSPC,Technology,5/12/2024,1.9,500,0,0,-100.0,656
JUNS,Health Care,3/12/2024,2.8,400,549,549,37.25,658
GRO,Basic Materials,27/11/2024,2.0,1500,1351,1351,-9.933333333333334,664
BRIA,Industrials,27/11/2024,2.5,400,400,400,0.0,664
PONY,Technology,27/11/2024,20.0,1300,1200,1200,-7.6923076923076925,664
VENU,Consumer Services,27/11/2024,1.2,1000,1012,1012,1.2,664
CGTL,Technology,26/11/2024,1.3,400,391,391,-2.25,665
WYHG,Industrials,26/11/2024,2.1,400,424,424,6.0,665
CASK,Industrials,22/11/2024,1.7,400,340,340,-15.0,669
MSW,Other,22/11/2024,1.5,550,559,559,1.6363636363636365,669
IZTC,Health Care,13/11/2024,1.9,800,865,865,8.125,678
ACOG,Health Care,12/11/2024,8.7,575,570,570,-0.8695652173913043,679
ADUR,Industrials,7/11/2024,0.9,425,425,458,7.764705882352942,684
